02.18.2025 06:19:50 | User Error | title is missing C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\controllers\Admin.php
02.18.2025 06:20:20 | User Error | title is missing C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\controllers\Admin.php
02.18.2025 06:20:52 | User Error | title is missing C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\controllers\Admin.php
02.18.2025 06:21:50 | User Error | title is missing C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\controllers\Admin.php
02.18.2025 06:22:15 | User Error | title is missing C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\controllers\Admin.php
02.18.2025 06:22:30 | User Error | title is missing C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\controllers\Admin.php
02.18.2025 06:22:37 | User Error | title is missing C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\controllers\Admin.php
02.18.2025 06:22:50 | User Error | title is missing C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\controllers\Admin.php
02.18.2025 06:23:28 | User Error | title is missing C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\controllers\Admin.php
02.18.2025 07:06:27 | User Error | Failed loading XML:  C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\models\task_data_xml.model.php
02.18.2025 07:09:10 | User Error | Failed loading XML:  C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\models\task_data_xml.model.php
02.18.2025 07:10:05 | User Error | Failed loading XML:  C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\models\task_data_xml.model.php
02.18.2025 07:10:18 | User Error | Failed loading XML:  C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\models\task_data_xml.model.php
02.18.2025 07:10:19 | User Error | Failed loading XML:  C:\Users\loren\webDevelopment\phpExcercises\mvc-xml-crud\app\models\task_data_xml.model.php
